,tweets
48378139,BREXIT BENEFIT: UK farmers who protect and enhance the environment to receive increased payments https://t.co/RxwceReNJG via @Conservative Post
1497954762377113608,I find it really difficult to get excised about this... mist farmers supported brexit as did the NFU🤷‍♂️ https://t.co/r66tnKSIZJ
125339572,Good news https://t.co/JijauzZpfG
558745993,UK boosts payments for farmers after low uptake of post-Brexit scheme https://t.co/0uMhGFdmjw
1029988421127864320,"@MattyMusgrove @Burnside2Donald @Haggis_UK Thanks for your reply. There's too much to unwrap there, so just one more question.

When businesses, exporters, farmers etc said brexit would cause extra red tape, not less, what made you believe the Leave campaigners over them?"
1424269521637019649,#Brexit #Farmers #ELMS 🤔🤔🤔 https://t.co/vsvvjnroT3
1300757570785808390,"@NicholasTyrone Please do NOT buy any British produced farm products, if possible! 
Farmers fucked us all up by voting Brexit, give them their deserved payback."
2474884325,Just 224 farmers were paid under post-Brexit farming scheme last year | Farming | The Guardian https://t.co/BTuI2AHYQM
1271084812296761344,Just 224 farmers were paid under post-Brexit farming scheme last year https://t.co/T8STI5BtN9
469609765,"@JohnGiles1871  @promarinternat1 #keynotespeaker on #beefday #BCBC2023 will give an insight to the soft fruit industry, what lessons there might be for livestock farmers, &amp; opportunities post Brexit &amp; post Covid. Book now &amp; join us https://t.co/ot9f9E0fBT #beinspired #teambeef https://t.co/yr91JAQqxV"
1164249687987298304,@ConsPost Meanwhile in the real world: https://t.co/lu1hE1v3yF
568349106,"""Just 224 farmers paid under [England's] post-Brexit farming scheme last year"" https://t.co/hzQJMhfbq7"
1328270801410404353,"‘On ELMs, we haven’t seen the full picture &amp; we don’t know where we sit in the jigsaw,’ @No1FarmerJake reflecting the lack of info nevermind low no. of farmers actually paid under new schemes as per report today. Adds up to worrying lack of progress post-Brexit on food security."
19441006,"acgrayling: RT @NicholasTyrone: 2016: When Britain leaves the EU, farming subsides will be ring-fenced. In fact, we can increase the payments given we will no longer be paying into EU budgets.

2023: Basic payments to farmers slashed by 20% post-Brexit c… https://t.co/7T4imzGRbA"
2741929095,"Farmers are to receive additional payments of up to £1k a year for protecting nature &amp; the environment, as the government changes post-Brexit subsidies to agriculture.
The increased payments will come under the environmental land management schemes (Elms)
https://t.co/LT38Fsb6aD"
445452143,"#brexit monger @trussliz did the deal that undermines uk sheep farmers and brexit monger @BorisJohnson did the oven ready deal that leaves no import checks at our border but huge checks exporting 

maybe stop voting @Conservatives ? https://t.co/f2AnqK5e8H"
141029510,"@waltjack71 @sainsburys @Tesco @1GarethWynJones @FarmersWeekly @FarmersGuardian @scottishfarmer @NFUtweets @natsheep @BBCNEandCumbria @FarmingUK @TheFarmingForum @BBCFarmingToday Well done all the farmers who voted for Brexit,enjoy even more cheaper produce from the other side of the globe, regardless of food standards."
1562510325949181952,Farmers to be paid double for planting hedgerows to boost post-Brexit green schemes https://t.co/1ytAWrT4Rp
1372618887624331265,BREXIT BENEFIT: UK farmers who protect and enhance the environment to receive increased payments https://t.co/z2zwIiC8A3 via @Conservative Post
995443722,"Post-#Brexit £1,000 farming payments ‘too little, too late’, says #NFU. Environmental cash incentives part of government scheme to replace EU common agricultural policy
https://t.co/70XGgbAKFX"
238767225,"Top story: Post-Brexit £1,000 farming payments ‘too little, too late’, says NFU | Farming | The Guardian https://t.co/PIQDkrXCyn, see more https://t.co/raV8oebHB1"
1377364789,"#RT @LibDems: RT @HelenMorganMP: British farmers are yet again being failed by a Conservative Government.

Lots of farmers in North Shropshire are struggling to keep their businesses alive but are being deprived of the money they are entitled to.

Our fa… https://t.co/BzM4RgHoQI"
3087491573,"Brexit broke Britain

#BrexitBrokeBritain #BrexitShambles #ToryCostOfGreedCrisis #Brexitrecession  
🇪🇺#BrexitWasTreason🇪🇺#RejoinEU🇪🇺
#ToriesOut182 #GeneralElection #NHSOnLifeSupport 

https://t.co/15FXuye3aF"
969533361634017282,"#RT @LibDems: RT @HelenMorganMP: British farmers are yet again being failed by a Conservative Government.

Lots of farmers in North Shropshire are struggling to keep their businesses alive but are being deprived of the money they are entitled to.

Our fa… https://t.co/w4ghXok1ey"
1416036389754376194,"@horton_official @fionaharvey reported how only 224 farmers were paid under the post-Brexit SFI.
 
#cleanenergyprojects can alleviate some of the financial stress farmers face by providing secure, long-term revenue, in parallel with traditional practices.

https://t.co/6K8yKWFpv1"
15324455,"Just 224 farmers were paid post-Brexit subsidies last year
#BrexitHasFailed

https://t.co/kgDbnMiMOY"
1592449986096234497,"@johnredwood Brexit was about taking back control, but as a result has lost control. UK on it's knees as the economy is in downward spiral, £40 bn a year in lost revenue, migrant workers left leaving farmers fighting for survival NHS on the brink as 23000 medical staff and 4000 doctors left"
1307001866,"Post-Brexit £1,000 farming payments ‘too little, too late’, says NFU https://t.co/U5ghBCW8pV"
202649769,Just 224 farmers were paid under post-Brexit farming scheme last year https://t.co/NxK6K78x4k
2732470025,"Just 224 farmers in England were paid under the government’s flagship post-Brexit, nature-friendly agriculture scheme last year. Seems that a tiny fraction of farms received payment under SFI, part of the Conservative plan to replace EU farming subsidies. https://t.co/cwC77JTkzV"
1305292185303224320,BREXIT BENEFIT: UK farmers who protect and enhance the environment to receive increased payments https://t.co/72s65sP3NA
1241995418055184385,"None of the following were included in Rich Sunaks Top 5 priorities 
energy, education, social care, homelessness, childcare,NHS total collapse,  Farmers,Fishing, and the Real biggy the crock of shit that Brexit is https://t.co/jP7JAavEwB"
1608439372767977472,"This is where the private sector can come in. Mitigate carbon footprint whilst helping farmers to farm more sustainably. #rewilding#sustainablefarming#farmingfornature#reducecarbonfootprint#helpbiodiversity
https://t.co/H0D4mvte9X"
3326599643,"That's what you call really shafting those who appear to have been big supporters of Brexit

A few more votes lost by an incompetent Tory Govt.

https://t.co/lHqM3G0ewp"
19287584,Just 224 farmers paid under post-Brexit farming scheme last year https://t.co/ItzbwXUyf7
4595001438,"@reece_dinsdale This one⬆️sat on the Russian influence in the Brexit vote &amp; Cambridge Analytica lies for a year! She ridicules turkey farmers, workers across NHS &amp; rail network, takes her wages from those who seek to demonise working Brits while partying with Tory cronies who off shore’our’tax £"
295875160,"Post-Brexit £1,000 farming payments ‘too little, too late’, says NFU | Farming | The Guardian https://t.co/xYP85NeiN7"
1539320097692561408,@LBC @mrjamesob @lisanandy Is this a brexit benefit that’ll not be discussed. https://t.co/I3d92P1WPk
385996137,Just 224 farmers were paid under post-Brexit farming scheme last year https://t.co/CZPQSVaOwb
250716981,"Good to see ELMs still a flagship policy but @cpre we think it needs to be ambitious, clear and well funded to deliver for farmers, people and naturePost-Brexit £1,000 farming payments ‘too little, too late’, says NFU https://t.co/xZ1MfSDKQK"
794522305,@NicholasTyrone You have just highlighted another benefit of Brexit. As a country we can now decide what support we do or do not give farmers and how that support can be targeted. We are no longer  forced to fund subsidies to non U.K. farmers.
1429164061510483973,"Fantasy: Starmer claims Labour will give communities “the trust, the power and the control”.

Reality: Majority of Labour members, along with businesses, farmers, fishermen, car manufacturers and two countries - NI &amp; Scotland - want to reverse #Brexit but Starmer is ignoring them"
239077812,"@NFUtweets
Irony of ironies since so many farmers are Tory and were pro Brexit!
https://t.co/YDpgSLFGQu"
737701283860217856,"Post-Brexit £1,000 farming payments ‘too little, too late’, says NFU https://t.co/R9tfDGhH5X"
896743879050964992,Just 224 farmers paid under post-Brexit farming scheme last year https://t.co/NYQLN1GM0P
1382203332,"Post-Brexit £1,000 farming payments ‘too little, too late’, says NFU.  This government are not fit for purpose on any level. Nothing is addressed coherently with clear vision just befuddlement and incompetence  https://t.co/g2r1V650T9"
49786807,"Post-Brexit £1,000 #farming payments ‘too little, too late’, says #NFU #brexitReality in #BrexitBritain https://t.co/mX1s8NXpz8"
1322836346742951936,"£1,000 per farm for helping bribg back bio-diversity and environmental improvement on farms? That doesn't sound a great help in the times we are living today.
""Post-Brexit £1,000 farming payments ‘too little, too late’, says NFU"" https://t.co/RCZJuLbSdU"
790914744404348928,“…..I’ve heard farmers say the industry was more or less chucked under a bus.” https://t.co/CZfskIPgTY
788524,Just 224 farmers were paid under post-Brexit farming scheme last year https://t.co/aFpFl7qm2H
1555638014923112452,@waltjack71 @sainsburys @Tesco @1GarethWynJones @FarmersWeekly @FarmersGuardian @scottishfarmer @NFUtweets @natsheep @BBCNEandCumbria @FarmingUK @TheFarmingForum @BBCFarmingToday These are your 'brexit benefits' are they not? I go out of my way to avoid buying anything emblazoned with a union jack. Were the farmers thinking of my freedom of movement and that of my son when they overwhelming voted for brexit? You reap what you sow......
1508215751739592712,"Post-Brexit £1,000 farming payments ‘too little, too late’, says NFU - https://t.co/5HmLpoFlpB -Environmental cash incentives part of government scheme to replace EU common agricultural policy
Farmers are to receive additional payments of up to £1,000 a year for protecting nat..."
1296055171,‘We’re only seeing the negative’: UK farmers on Brexit and losing the common agricultural policy https://t.co/nVEN2jlAFa
1833919200,"Post-Brexit £1,000 farming payments are too little, too late, says National Farmers’ Union

Environmental cash incentives are part of a UK Government scheme to replace EU common agricultural policy

 https://t.co/Qt76VSqphm"
16376784,"I'm finding it very hard to sympathise with farmers on this, although I'm sure as a group they didn't all vote for the ridiculous boondoggle of brexit.

https://t.co/PdCj6FUIXW"
1508529545217032206,"ATTENTION BORIS AND NIGEL:  Post-Brexit £1,000 farming payments ‘too little, too late’, says NFU https://t.co/mKLQ2AiWtD"
196541017,"Post-Brexit farming payments ‘too little, too late’, says NFU https://t.co/G1sVIHLhya"
231520553,"Just 224 farmers were paid under post- #Brexit farming scheme last year 
https://t.co/1yZhuKVekX"
87818409,Just 224 farmers were paid under post-Brexit farming scheme last year https://t.co/rzYJ4n3aH9
706975999188148224,"@FactsReason @somechewlip @Charlie_Orignal @cambridge_peter @MattAdkin @Bellagio_bound @Roblev0 @musicalbounce @WilliamYearnor @BogCleaner1 @fbpe_mark @David_Vaporium @boomer_ish @SetCondiment @MalChandler @WasOnceLoved @bromhome @chris_cine @Michael80789776 @rec777777 @PetrasPics66 @Stephen1010102 @auto_rec_bot @987_charles @SghostBigdog @andyfarnell07 @CSY10111 @MunroeL @ShegorTheReador @thefactroom @Cuidad10 @993Adam @Goosey30111568 @ruckmalc @TomRalst @thegrimbarian @Monde1012 @Wonkypolicywonk @Boba113479861 @barcodemark1 @delsbells @cathyby @adbalfour @Peter14306722 @Tagliatellla @crikeyolson @ChrisEv06631592 @JenniferCoogan1 @Paddycakepaddy1 As opposed to #Brexit powers of
-self imposed trade restrictions
-damaging the economy, farmers &amp; fishing industries
-plunging the £, making imports more expensive.
-loosing lucrative financial business to the EU, 
-generating a shortage of critical workers."
471284637,@waltjack71 @mikegalsworthy @sainsburys @Tesco @1GarethWynJones @FarmersWeekly @FarmersGuardian @scottishfarmer @NFUtweets @natsheep @BBCNEandCumbria @FarmingUK @TheFarmingForum @BBCFarmingToday Yeah but farmers campaigned for Brexit so fuck 'em.
58256324,"Post-Brexit £1,000 farming payments ‘too little, too late’, says NFU https://t.co/3CW1CiMkFF"
871018516564107265,"There is no agricultural policy under the Tories. 

#r4today #wato #bbcpm 

Just 224 farmers paid under post-Brexit farming scheme last year https://t.co/okDtAjTTnQ"
4397367323,"British farmers are yet again being failed by a Conservative Government.

Lots of farmers in North Shropshire are struggling to keep their businesses alive but are being deprived of the money they are entitled to.

Our farmers deserve better.

https://t.co/sOtGQ6s4Y5"
963442716096032768,‘We’re only seeing the negative’: UK farmers on Brexit and losing the common agricultural policy | Brexit | The Guardian https://t.co/oU8z9joqzH
2471508775,"It's weird that the one decent advantage of Brexit was the EPLMS scheme for British farmers isn't working. Instead of EU payments for amount of land (EU is changing this anyway) farmers would be rewarded for looking after the health of their soils. 
https://t.co/CSKWLsGYeZ"
1426193582831116290,"Farmers sold out by Brexit

https://t.co/T3l2Fa9AQb"
581299758,"@waltjack71 @sainsburys @Tesco @1GarethWynJones @FarmersWeekly @FarmersGuardian @scottishfarmer @NFUtweets @natsheep @BBCNEandCumbria @FarmingUK @TheFarmingForum @BBCFarmingToday NZ lamb has been sold in the UK for over 50 years ... nothing new.  The reality is not about imports, its about the inability to sell UK goods to others post brexit. This isnt only a farmers' problem... its about all UK business problem.... address the cause not the symptom"
1330911446440554496,"Post-Brexit GBP1,000 farming payments 'too little too late', says NFU

#BREXIT #CASH

https://t.co/9nvsjpSvSP"
608175647,Oof. This is not good news for sustainability https://t.co/rKdRPXFAjY
796604419,Just 224 farmers were paid under post-Brexit farming scheme last year https://t.co/uM2Bj2JUzQ
788783954212036608,"Just 224 farmers paid under post-Brexit farming scheme last year https://t.co/SXyOZ8aON7
#BrexitBrokeBritain #BrexitCriminals #ToryBrexitDisaster"
951707624,"Post-Brexit £1,000 farming payments ‘too little too late’, says NFU https://t.co/ThrirClx7h"
2940557482,Just 224 farmers paid under post-Brexit farming scheme last year https://t.co/W0MDb72J22
21287212,"Post-Brexit £1,000 farming payments ‘too little too late’, says NFU https://t.co/jWT0zMwS5g by @Guardian 2023-01-05 10:45:18"
20582958,Just 224 farmers paid under post-Brexit farming scheme last year https://t.co/JgYkztrLy1
2210251178,"Just 224 farmers were paid under post-Brexit farming scheme last year

Exclusive: Leaked figures show tiny fraction of England’s farms received payment under sustainable farming incentive

#ToryBrexitDisaster

https://t.co/LHIJXiKNaA"
631865146,"2016: When Britain leaves the EU, farming subsides will be ring-fenced. In fact, we can increase the payments given we will no longer be paying into EU budgets.

2023: Basic payments to farmers slashed by 20% post-Brexit compared to what it was under EU funding."
1439925625427566602,@waltjack71 @sainsburys @Tesco @1GarethWynJones @FarmersWeekly @FarmersGuardian @scottishfarmer @NFUtweets @natsheep @BBCNEandCumbria @FarmingUK @TheFarmingForum @BBCFarmingToday Because mostly all farmers voted for Brexit 😵‍💫
3163491621,Just 224 farmers were paid under post-Brexit farming scheme last year | Farming | The Guardian https://t.co/oVLTPBL4mY
2813746248,"“Making Britain great again” Day 729: Pre-referendum, I met with a group of farmers who told me how much they relied upon EU workers to keep their businesses going. But they were all voting for Brexit. I’ll never understand it. #BrexitReality  https://t.co/oEz16y9hfi"
1263503325410013185,"@rosalindanne Why should I have sympathy for UK farmers when most of them are conservative voters and they voted for brexit,they're getting what they voted for"
930281076,"This shocking report shows that post Brexit backing for sustainable farming was a fantasy like much else in Tory world. Farmers suffer,nature suffers even more. Time for change. https://t.co/ueFBqg26c0"
568617462,"‘We’re only seeing the negative’: UK farmers on Brexit and losing the common agricultural policy

In the third of our series looking at the impact of the Brexit trade deal, the Guardian talks to farmers about the difficulties they face

https://t.co/yVwbjuM9Gf"
1172208093633138688,"@mumwhocares @Unusual_Times 🤣
That sounds a lot better than road kill or it will be prison food but rustling livestock is not on the menu

Farmers beware of the Brexit benefits of a starving nation with nothing but foodbank credit and an inept fraudulently grifting benefit scrounging government

#Farming"
82358429,"Just 224 farmers were paid under post-Brexit farming scheme last year | Farming | The Guardian
https://t.co/lERPFWNV0h

Leaked figures show that a tiny fraction of farms received payment under the sustainable farming incentive (SFI), part of the… https://t.co/UtjLAydieq"
254003946,Just 224 farmers were paid post-Brexit subsidies last year https://t.co/gI3VvC3j3m
891695048617852928,"The issue isn’t how many farmers were paid in 2022, it’s that the payment rates for SFI are untenably low. Whatever the pros &amp; cons of ELM, that’s what’s going to kill the scheme - and many smaller farms.

https://t.co/O7GSDPRn3F"
29421126,‘We’re only seeing the negative’: UK farmers on Brexit and losing the common agricultural policy https://t.co/saX7DmPG9c
142788841,"“Just 224 farmers were paid under post-Brexit farming scheme last year”

Those Brexit opportunities eh? 
 https://t.co/2NfK58WeNu"
1546869273980817408,@Rand0mB1tsUK Oh well.  Brexit voting Farmers can suck it all the way up.
578933053,"😂 Greg Hands ‘great news’ Brexit bonus that farmers can now go to the trouble of exporting pork to Korea and bring in up to £1 million over 5 years - just about covering Greg Hands expenses claims 😂!
The Brexit utter stupidity levels continue to entertain. Something to laugh at https://t.co/IALia4Am5o"
111402728,@BenGoldsmith Oh yeah. What about this report then. https://t.co/eYKYYClTgd
1425210032,Just 224 farmers were paid under post-Brexit farming scheme last year https://t.co/mLQp88gJOn #DavisDownsideDossier @YorksBylines
169166697,"Just 224 farmers were paid post-Brexit subsidies last year
⁦@NFUPolitical⁩ ⁦@NFUCountryside⁩ ⁦@UKLabour⁩  https://t.co/FGxsyGnngv"
72010438,Just 224 farmers were paid under post-Brexit farming scheme last year https://t.co/aWn5AQC8Ai
917921922,Just 224 farmers were paid under post-Brexit farming scheme last year https://t.co/AOif5cbFUd
2779420101,Just 224 farmers were paid under post-Brexit farming scheme last year https://t.co/Cqw9V5NT40
2338811370,Just 224 farmers were paid under post-Brexit farming scheme last year https://t.co/VAiW57khSX
49597955,"Day 735 (1070) of #Brexit: Leaked figures show just 224 farmers in England were paid under the government’s post-Brexit sustainable farming incentive (SFI) last year, part of the government’s plan to replace EU farming subsidies. https://t.co/KhGUJa7Y3V"
1894253047,https://t.co/d6GrAVtNLM
1573673155243147264,"@NicholasTyrone UK Border Force are currently striking yet traffic is flowing through Dover as usual. The French Customs/Fishermen/Farmers blockade Calais on an annual basis and we get gridlock. 

If Brexit were at fault there would be gridlock every day, that there isn't tells you everything."
850766432,#farming Farmers face precarious future with loss of CAP https://t.co/tfVN69CXgN
1035992038750281729,"Leaked figures show tiny fraction of England’s farms received payment under post-#Brexit sustainable farming incentive.
#BrexitCarnage
https://t.co/o0lEJr7RQ8"
306676385,Just 224 farmers were paid under post-Brexit farming scheme last year https://t.co/29cIo1nm36
924257264470458368,"No Brexit benefits for farmers 
‘We’re only seeing the negative’
“There’s no way you can dress those trade deals up as a as a good thing. I’ve heard farmers say the industry was more or less chucked under a bus.”
#BrexitReality
#BrexitHasFailed https://t.co/H61yMVS5nR"
37928746,Just 224 farmers were paid under post-Brexit farming scheme last year | Farming | The Guardian https://t.co/C4NmcQZHQu
1358992730,@hic334 The NFU position was that farmers' interests would be best served by staying in the EU and yet 52% of farmers voted for Brexit.
826382447885574144,"As this tinpot post-Brexit government faces further anger from farmers, it's revealed that only 224 farms have received payment under the sustainable farming incentive, part of the Conservative government’s plan to replace EU farming subsidies. https://t.co/Nc6bI2Z8Xg"
121517017,"Is the govt meeting the ""minimum service level?
Just 224 farmers were paid under post-Brexit farming scheme last year https://t.co/qdwtqh0HBP"
20496975,"lost unfettered access to nearest export market, faces reduction in farm subsidies as the result of the loss of the common agricultural policy (CAP), and has been disadvantaged by trade deals giving access to the UK market to rival farmers from Australia and New Zealand #Brexit"
237719540,Just 224 farmers were paid under post-Brexit farming scheme last year https://t.co/5obK7I9Am7
133444439,"@bbcfarmingtoday @BBCRadio4 
So, the Oxford Farming Conference. Discussing UK farmers worries you found the 1 farmer whose worry was 'diversity' (of farmers)
Not climate change, yield, labour, Brexit, Funding, grants, etc.
Diversity! Of course you did..every time.
🤦🏻‍♂️"
1261682465015562240,"And farmers advocated for BREXIT, I'd feel like a right idiot if I were one of them now. Or bankrupt. https://t.co/mm3Y4ZXg9L"
2566822615,‘We’re only seeing the negative’: UK farmers on Brexit and losing the common agricultural policy https://t.co/SVDyKJzIFF
354244391,"@waltjack71 @destinysharles @sainsburys @Tesco @1GarethWynJones @FarmersWeekly @FarmersGuardian @scottishfarmer @NFUtweets @natsheep @BBCNEandCumbria @FarmingUK @TheFarmingForum @BBCFarmingToday This is a Brexit benefit that the farmers voted for, Liz Truss trade deal !!
#NeverVoteConservative"
2601559130,"So #Brexit #farming ""benefits"" were just more #ToryLies.
Anyone surprised?
 The Guardian: ""Just 224 farmers were paid under post-Brexit farming scheme last year.""
https://t.co/wzaRevNNxD

via @GoogleNews"
15720449,"Just 224 farmers were paid under post-Brexit farming scheme last year https://t.co/xAfGeMkhXj

Exclusive: Leaked figures show tiny fraction of England’s farms received payment under sustainable farming incentive https://t.co/iTjtgUjyPF"
1405773316284059648,"He has lost unfettered access to his nearest export market, faces reduction in farm subsidies, and has been disadvantaged by trade deals giving access to the UK market to rival farmers from Australia and New Zealand.

https://t.co/yiOXf8UKdV

#brexit #brexitreality"
1434286891398885381,Just 224 farmers were paid under post-Brexit farming scheme last year https://t.co/mrJ4Yi8VBn
1062604369944817665,"#Tories fail Farmers.
Let's face it this Government is useless/ #Tory tossers
Just 224 farmers were paid under post-Brexit farming scheme last year https://t.co/H9pommvttm"
1353707708067753984,https://t.co/E8DwZYHhMF
2262575765,https://t.co/8s9m3Be2hn #ToryCorruption #BrexitCarnage
428335045,Just 224 farmers were paid under post-Brexit farming scheme last year https://t.co/b4zaiwEAfp
1405531943710588940,"Just 224 farmers were paid under post-#Brexit farming scheme last year
#BrexitHasFailed https://t.co/Llx4AUPEAa"
406516268,Just 224 farmers were paid under post-Brexit farming scheme last year https://t.co/djtLVMotZm
515321393,"@BBCNewsnight #GreenWashing - #Brexit IS #WildCapitalism #DisasterCapitalism  #ToryCriminalsUnfitToGovern are assets stripping the country ! @NFUtweets @SaveBritishFood 
Farmers gazumped by Private Equity Firms ! ⤵️ @DailyMirror   https://t.co/TpuxtoizLh via @ITVX"
1547714424533790721,‘We’re only seeing the negative’: UK farmers on Brexit and losing the common agricultural policy https://t.co/9ZvpjmRtSW
315370094,Just 224 farmers were paid under post-Brexit farming scheme last year https://t.co/yyUa8sozXk
1254382489117896704,Just such a shame farmers all voted for brexit https://t.co/IPFCDaCkaQ
918196050384556037,Just 224 farmers were paid under post-Brexit farming scheme last year https://t.co/mKIBlPUbQg
826182725480673281,"James Dyson: our 120m farm investment dwarfs the CAP payments we've... (https://t.co/aejaXLk2mJ)

Your article (We're only seeing the negative': UK farmers on Brexit and losing the common ag...

Add your highlights:
https://t.co/92o788BYMK
 #europe #politics #..."
208062440,@NicholasTyrone Brexit has been a disaster. It has not been planned very well. Why would you want to import beef halfway around the world from Australia where we could have deals with our European neighbours and our farmers.
1289266677016928256,Just 224 farmers were paid under post-Brexit farming scheme last year https://t.co/n30Fm8A6Db
2791354576,Just 224 farmers were paid under post-Brexit farming scheme last year https://t.co/6v69U7W6ni
1168669381,https://t.co/Z8gTo2rnyF
257531689,"#BrexitShambles #BrexitHasFailed #BrexitWasBasedOnLies #BrexitIsNotWorking #ShouldHaveStayedinEurope #SupportTheProtocol #PartitionHasFailed 

Just 224 farmers were paid under post-Brexit farming scheme last year https://t.co/Un60ZXptSw"
407885371,https://t.co/ImXEGQugV1
1137900865,Just 224 farmers were paid under post-Brexit farming scheme last year | Farming | The Guardian.                            https://t.co/ehDRRA74lk
2383587276,Just 224 farmers were paid under post-Brexit farming scheme last year | farming https://t.co/OjOXzHfEHG
485835938,@joblijob16 @guardian It's a myth that farmers voted overwhelmingly for Brexit. Those roadside placards you saw in the run up to the referendum were largely placed there by a handful of wealthy landowners.
425855220,"""British farmers need to be able to compete on a level playing field with those in Europe and further afield"" 

Irony is that Brexit isn't leveling the playing field with the EU or rest of the world but rather making it worse for UK farmers.

https://t.co/1AW8p9obGD"
1025454501959028742,"@lisaocarroll Do beg pardon. The apples to pears would be Potatoes in the finest Lincolnshire fields to Sheep on a Welsh Moor. I have absolutely no idea why the plank chose one over the other. Surely he should now prove his genius by taking up Sheep Farming.

https://t.co/KL7FN41S3k"
1579394600309080065,Just 224 farmers were paid under post-Brexit farming scheme last year https://t.co/fEFYVGF5ld
446974428,"Another reason why, if you're #undecided, that you should support independence.
Our Scottish farmers and farms and families are being decimated by Brexit.
Independence would mean we keep high food standards https://t.co/vzXn0weqEg"
3423612425,Another #brexit benefit? https://t.co/JjafcKjJ82
3318608843,https://t.co/dpUGNGTfDY
2345001097,So much for farmers still getting the same grants as they did from EU Yet another Brexit lie voters bought. https://t.co/ASYE7USKOF
107702315,https://t.co/zRfqWA17rR
1398136981,Just 224 farmers were paid under post-Brexit farming scheme last year https://t.co/BnbCCkoevr
210413648,"Brexit seems to be working then?!,Just 224 farmers were paid under post-Brexit farming scheme last year https://t.co/0Ktr3GkusO"
1299017696416272385,"Just 224 farmers were paid under post-Brexit farming scheme last year

Exclusive: Leaked figures show tiny fraction of England’s farms received payment under sustainable farming incentive 

Via @guardian  https://t.co/CKjqK72gI1"
910948257748148227,Just 224 farmers were paid under post-Brexit farming scheme last year https://t.co/tCZ76Li0UZ
1558889051327012864,https://t.co/Wkl8pIrKVK
1237503792037400580,https://t.co/bhNFqpYSSV
209289568,"Mr Dyson thinks we are all suckers...

There have been fruit farmers here in Scotland who put huge investments into their farms.
Their farms produced high quality fruit but Brexit has meant a lack of export markets and a lack of workers.

Brexit has also more widely damaged trade"
849590740246290433,Just 224 farmers were paid under post-Brexit farming scheme last year https://t.co/yJarMThcfJ https://t.co/S2i8szXega
1069162675370901507,You truly could not make this up. 😂😂😂 https://t.co/yWx4ecqWX6
417946982,"@normsk1950 @BBCNews They aren't here illegally. And there are plenty of jobs the brits wont do, just ask the farmers burning their crops.  The huge problems of recruitment in the catering and care homes thanks to brexit.  Its a shame in this day and age people like you still have such ignorant views"
22769442,@brexit_sham Is that all the farmers we have left now?
2156827702,"Brexit benefits?  Sunlit uplands? Anyone?
Just 224 farmers were paid under post-Brexit farming scheme last year https://t.co/cFQNrJ93Bs"
