,tweets,stopwords,upper
15324455,"Just 224 farmers were paid postBrexit subsidies last year
BrexitHasFailed

httpstcokgDbnMiMOY",1,0
1592449986096234497,johnredwood Brexit was about taking back control but as a result has lost control UK on its knees as the economy is in downward spiral 40 bn a year in lost revenue migrant workers left leaving farmers fighting for survival NHS on the brink as 23000 medical staff and 4000 doctors left,19,2
1307001866,PostBrexit 1000 farming payments too little too late says NFU httpstcoU5ghBCW8pV,2,1
202649769,Just 224 farmers were paid under postBrexit farming scheme last year httpstcoNxK6K78x4k,2,0
2732470025,Just 224 farmers in England were paid under the governments flagship postBrexit naturefriendly agriculture scheme last year Seems that a tiny fraction of farms received payment under SFI part of the Conservative plan to replace EU farming subsidies httpstcocwC77JTkzV,11,2
1305292185303224320,BREXIT BENEFIT UK farmers who protect and enhance the environment to receive increased payments httpstco72s65sP3NA,4,3
1241995418055184385,"None of the following were included in Rich Sunaks Top 5 priorities 
energy education social care homelessness childcareNHS total collapse  FarmersFishing and the Real biggy the crock of shit that Brexit is httpstcojP7JAavEwB",10,0
1608439372767977472,"This is where the private sector can come in Mitigate carbon footprint whilst helping farmers to farm more sustainably rewildingsustainablefarmingfarmingfornaturereducecarbonfootprinthelpbiodiversity
httpstcoH0D4mvte9X",7,0
3326599643,"Thats what you call really shafting those who appear to have been big supporters of Brexit

A few more votes lost by an incompetent Tory Govt

httpstcolHqM3G0ewp",12,1
19287584,Just 224 farmers paid under postBrexit farming scheme last year httpstcoItzbwXUyf7,1,0
4595001438,reece_dinsdale This onesat on the Russian influence in the Brexit vote amp Cambridge Analytica lies for a year She ridicules turkey farmers workers across NHS amp rail network takes her wages from those who seek to demonise working Brits while partying with Tory cronies who off shoreourtax ,15,1
295875160,PostBrexit 1000 farming payments too little too late says NFU  Farming  The Guardian httpstcoxYP85NeiN7,2,1
1539320097692561408,LBC mrjamesob lisanandy Is this a brexit benefit thatll not be discussed httpstcoI3d92P1WPk,4,1
385996137,Just 224 farmers were paid under postBrexit farming scheme last year httpstcoCZPQSVaOwb,2,0
250716981,Good to see ELMs still a flagship policy but cpre we think it needs to be ambitious clear and well funded to deliver for farmers people and naturePostBrexit 1000 farming payments too little too late says NFU httpstcoxZ1MfSDKQK,13,1
794522305,NicholasTyrone You have just highlighted another benefit of Brexit As a country we can now decide what support we do or do not give farmers and how that support can be targeted We are no longer  forced to fund subsidies to non UK farmers,22,1
1429164061510483973,"Fantasy Starmer claims Labour will give communities the trust the power and the control

Reality Majority of Labour members along with businesses farmers fishermen car manufacturers and two countries  NI amp Scotland  want to reverse Brexit but Starmer is ignoring them",12,1
239077812,"NFUtweets
Irony of ironies since so many farmers are Tory and were pro Brexit
httpstcoYDpgSLFGQu",5,0
737701283860217856,PostBrexit 1000 farming payments too little too late says NFU httpstcoR9tfDGhH5X,2,1
896743879050964992,Just 224 farmers paid under postBrexit farming scheme last year httpstcoNYQLN1GM0P,1,0
1382203332,PostBrexit 1000 farming payments too little too late says NFU  This government are not fit for purpose on any level Nothing is addressed coherently with clear vision just befuddlement and incompetence  httpstcog2r1V650T9,11,1
49786807,PostBrexit 1000 farming payments too little too late says NFU brexitReality in BrexitBritain httpstcomX1s8NXpz8,3,1
1322836346742951936,"1000 per farm for helping bribg back biodiversity and environmental improvement on farms That doesnt sound a great help in the times we are living today
PostBrexit 1000 farming payments too little too late says NFU httpstcoRCZJuLbSdU",10,1
790914744404348928,Ive heard farmers say the industry was more or less chucked under a bus httpstcoCZfskIPgTY,6,0
788524,Just 224 farmers were paid under postBrexit farming scheme last year httpstcoaFpFl7qm2H,2,0
1555638014923112452,waltjack71 sainsburys Tesco 1GarethWynJones FarmersWeekly FarmersGuardian scottishfarmer NFUtweets natsheep BBCNEandCumbria FarmingUK TheFarmingForum BBCFarmingToday These are your brexit benefits are they not I go out of my way to avoid buying anything emblazoned with a union jack Were the farmers thinking of my freedom of movement and that of my son when they overwhelming voted for brexit You reap what you sow,24,1
1508215751739592712,"PostBrexit 1000 farming payments too little too late says NFU  httpstco5HmLpoFlpB Environmental cash incentives part of government scheme to replace EU common agricultural policy
Farmers are to receive additional payments of up to 1000 a year for protecting nat",11,2
1296055171,Were only seeing the negative UK farmers on Brexit and losing the common agricultural policy httpstconVEN2jlAFa,5,1
1833919200,"PostBrexit 1000 farming payments are too little too late says National Farmers Union

Environmental cash incentives are part of a UK Government scheme to replace EU common agricultural policy

 httpstcoQt76VSqphm",7,2
16376784,"Im finding it very hard to sympathise with farmers on this although Im sure as a group they didnt all vote for the ridiculous boondoggle of brexit

httpstcoPdCj6FUIXW",13,0
1508529545217032206,ATTENTION BORIS AND NIGEL  PostBrexit 1000 farming payments too little too late says NFU httpstcomKLQ2AiWtD,2,5
196541017,PostBrexit farming payments too little too late says NFU httpstcoG1sVIHLhya,2,1
231520553,"Just 224 farmers were paid under post Brexit farming scheme last year 
httpstco1yZhuKVekX",2,0
87818409,Just 224 farmers were paid under postBrexit farming scheme last year httpstcorzYJ4n3aH9,2,0
706975999188148224,"FactsReason somechewlip Charlie_Orignal cambridge_peter MattAdkin Bellagio_bound Roblev0 musicalbounce WilliamYearnor BogCleaner1 fbpe_mark David_Vaporium boomer_ish SetCondiment MalChandler WasOnceLoved bromhome chris_cine Michael80789776 rec777777 PetrasPics66 Stephen1010102 auto_rec_bot 987_charles SghostBigdog andyfarnell07 CSY10111 MunroeL ShegorTheReador thefactroom Cuidad10 993Adam Goosey30111568 ruckmalc TomRalst thegrimbarian Monde1012 Wonkypolicywonk Boba113479861 barcodemark1 delsbells cathyby adbalfour Peter14306722 Tagliatellla crikeyolson ChrisEv06631592 JenniferCoogan1 Paddycakepaddy1 As opposed to Brexit powers of
self imposed trade restrictions
damaging the economy farmers amp fishing industries
plunging the  making imports more expensive
loosing lucrative financial business to the EU 
generating a shortage of critical workers",9,2
471284637,waltjack71 mikegalsworthy sainsburys Tesco 1GarethWynJones FarmersWeekly FarmersGuardian scottishfarmer NFUtweets natsheep BBCNEandCumbria FarmingUK TheFarmingForum BBCFarmingToday Yeah but farmers campaigned for Brexit so fuck em,3,0
58256324,PostBrexit 1000 farming payments too little too late says NFU httpstco3CW1CiMkFF,2,1
871018516564107265,"There is no agricultural policy under the Tories 

r4today wato bbcpm 

Just 224 farmers paid under postBrexit farming scheme last year httpstcookDtAjTTnQ",5,0
4397367323,"British farmers are yet again being failed by a Conservative Government

Lots of farmers in North Shropshire are struggling to keep their businesses alive but are being deprived of the money they are entitled to

Our farmers deserve better

httpstcosOtGQ6s4Y5",18,0
963442716096032768,Were only seeing the negative UK farmers on Brexit and losing the common agricultural policy  Brexit  The Guardian httpstcooU8z9joqzH,5,1
2471508775,"Its weird that the one decent advantage of Brexit was the EPLMS scheme for British farmers isnt working Instead of EU payments for amount of land EU is changing this anyway farmers would be rewarded for looking after the health of their soils 
httpstcoCSKWLsGYeZ",17,3
1426193582831116290,"Farmers sold out by Brexit

httpstcoT3l2Fa9AQb",2,0
581299758,waltjack71 sainsburys Tesco 1GarethWynJones FarmersWeekly FarmersGuardian scottishfarmer NFUtweets natsheep BBCNEandCumbria FarmingUK TheFarmingForum BBCFarmingToday NZ lamb has been sold in the UK for over 50 years  nothing new  The reality is not about imports its about the inability to sell UK goods to others post brexit This isnt only a farmers problem its about all UK business problem address the cause not the symptom,22,4
1330911446440554496,"PostBrexit GBP1000 farming payments too little too late says NFU

BREXIT CASH

httpstco9nvsjpSvSP",2,4
608175647,Oof This is not good news for sustainability httpstcorKdRPXFAjY,3,0
796604419,Just 224 farmers were paid under postBrexit farming scheme last year httpstcouM2Bj2JUzQ,2,0
788783954212036608,"Just 224 farmers paid under postBrexit farming scheme last year httpstcoSXyOZ8aON7
BrexitBrokeBritain BrexitCriminals ToryBrexitDisaster",1,0
951707624,PostBrexit 1000 farming payments too little too late says NFU httpstcoThrirClx7h,2,1
2940557482,Just 224 farmers paid under postBrexit farming scheme last year httpstcoW0MDb72J22,1,0
21287212,PostBrexit 1000 farming payments too little too late says NFU httpstcojWT0zMwS5g by Guardian 20230105 104518,3,1
20582958,Just 224 farmers paid under postBrexit farming scheme last year httpstcoJgYkztrLy1,1,0
2210251178,"Just 224 farmers were paid under postBrexit farming scheme last year

Exclusive Leaked figures show tiny fraction of Englands farms received payment under sustainable farming incentive

ToryBrexitDisaster

httpstcoLHIJXiKNaA",4,0
631865146,"2016 When Britain leaves the EU farming subsides will be ringfenced In fact we can increase the payments given we will no longer be paying into EU budgets

2023 Basic payments to farmers slashed by 20 postBrexit compared to what it was under EU funding",18,3
1439925625427566602,waltjack71 sainsburys Tesco 1GarethWynJones FarmersWeekly FarmersGuardian scottishfarmer NFUtweets natsheep BBCNEandCumbria FarmingUK TheFarmingForum BBCFarmingToday Because mostly all farmers voted for Brexit ,2,0
3163491621,Just 224 farmers were paid under postBrexit farming scheme last year  Farming  The Guardian httpstcooVLTPBL4mY,2,0
2813746248,Making Britain great again Day 729 Prereferendum I met with a group of farmers who told me how much they relied upon EU workers to keep their businesses going But they were all voting for Brexit Ill never understand it BrexitReality  httpstcooEz16y9hfi,15,2
1263503325410013185,rosalindanne Why should I have sympathy for UK farmers when most of them are conservative voters and they voted for brexittheyre getting what they voted for,14,2
930281076,This shocking report shows that post Brexit backing for sustainable farming was a fantasy like much else in Tory world Farmers suffernature suffers even more Time for change httpstcoueFBqg26c0,7,0
568617462,"Were only seeing the negative UK farmers on Brexit and losing the common agricultural policy

In the third of our series looking at the impact of the Brexit trade deal the Guardian talks to farmers about the difficulties they face

httpstcoyVwbjuM9Gf",17,1
1172208093633138688,"mumwhocares Unusual_Times 
That sounds a lot better than road kill or it will be prison food but rustling livestock is not on the menu

Farmers beware of the Brexit benefits of a starving nation with nothing but foodbank credit and an inept fraudulently grifting benefit scrounging government

Farming",19,0
82358429,"Just 224 farmers were paid under postBrexit farming scheme last year  Farming  The Guardian
httpstcolERPFWNV0h

Leaked figures show that a tiny fraction of farms received payment under the sustainable farming incentive SFI part of the httpstcoUtjLAydieq",9,1
254003946,Just 224 farmers were paid postBrexit subsidies last year httpstcogI3VvC3j3m,1,0
891695048617852928,"The issue isnt how many farmers were paid in 2022 its that the payment rates for SFI are untenably low Whatever the pros amp cons of ELM thats whats going to kill the scheme  and many smaller farms

httpstcoO7GSDPRn3F",13,2
29421126,Were only seeing the negative UK farmers on Brexit and losing the common agricultural policy httpstcosaX7DmPG9c,5,1
142788841,"Just 224 farmers were paid under postBrexit farming scheme last year

Those Brexit opportunities eh 
 httpstco2NfK58WeNu",2,0
1546869273980817408,Rand0mB1tsUK Oh well  Brexit voting Farmers can suck it all the way up,5,0
578933053," Greg Hands great news Brexit bonus that farmers can now go to the trouble of exporting pork to Korea and bring in up to 1 million over 5 years  just about covering Greg Hands expenses claims 
The Brexit utter stupidity levels continue to entertain Something to laugh at httpstcoIALia4Am5o",17,0
111402728,BenGoldsmith Oh yeah What about this report then httpstcoeYKYYClTgd,3,0
1425210032,Just 224 farmers were paid under postBrexit farming scheme last year httpstcomLQp88gJOn DavisDownsideDossier YorksBylines,2,0
169166697,"Just 224 farmers were paid postBrexit subsidies last year
NFUPolitical NFUCountryside UKLabour  httpstcoFGxsyGnngv",1,0
72010438,Just 224 farmers were paid under postBrexit farming scheme last year httpstcoaWn5AQC8Ai,2,0
917921922,Just 224 farmers were paid under postBrexit farming scheme last year httpstcoAOif5cbFUd,2,0
2779420101,Just 224 farmers were paid under postBrexit farming scheme last year httpstcoCqw9V5NT40,2,0
2338811370,Just 224 farmers were paid under postBrexit farming scheme last year httpstcoVAiW57khSX,2,0
49597955,Day 735 1070 of Brexit Leaked figures show just 224 farmers in England were paid under the governments postBrexit sustainable farming incentive SFI last year part of the governments plan to replace EU farming subsidies httpstcoKhGUJa7Y3V,9,2
1894253047,httpstcod6GrAVtNLM,0,0
1573673155243147264,"NicholasTyrone UK Border Force are currently striking yet traffic is flowing through Dover as usual The French CustomsFishermenFarmers blockade Calais on an annual basis and we get gridlock 

If Brexit were at fault there would be gridlock every day that there isnt tells you everything",15,1
850766432,farming Farmers face precarious future with loss of CAP httpstcotfVN69CXgN,2,1
1035992038750281729,"Leaked figures show tiny fraction of Englands farms received payment under postBrexit sustainable farming incentive
BrexitCarnage
httpstcoo0lEJr7RQ8",2,0
306676385,Just 224 farmers were paid under postBrexit farming scheme last year httpstco29cIo1nm36,2,0
924257264470458368,"No Brexit benefits for farmers 
Were only seeing the negative
Theres no way you can dress those trade deals up as a as a good thing Ive heard farmers say the industry was more or less chucked under a bus
BrexitReality
BrexitHasFailed httpstcoH61yMVS5nR",18,0
37928746,Just 224 farmers were paid under postBrexit farming scheme last year  Farming  The Guardian httpstcoC4NmcQZHQu,2,0
1358992730,hic334 The NFU position was that farmers interests would be best served by staying in the EU and yet 52 of farmers voted for Brexit,9,2
826382447885574144,As this tinpot postBrexit government faces further anger from farmers its revealed that only 224 farms have received payment under the sustainable farming incentive part of the Conservative governments plan to replace EU farming subsidies httpstcoNc6bI2Z8Xg,12,1
121517017,"Is the govt meeting the minimum service level
Just 224 farmers were paid under postBrexit farming scheme last year httpstcoqdwtqh0HBP",4,0
20496975,lost unfettered access to nearest export market faces reduction in farm subsidies as the result of the loss of the common agricultural policy CAP and has been disadvantaged by trade deals giving access to the UK market to rival farmers from Australia and New Zealand Brexit,17,2
237719540,Just 224 farmers were paid under postBrexit farming scheme last year httpstco5obK7I9Am7,2,0
133444439,"bbcfarmingtoday BBCRadio4 
So the Oxford Farming Conference Discussing UK farmers worries you found the 1 farmer whose worry was diversity of farmers
Not climate change yield labour Brexit Funding grants etc
Diversity Of course you didevery time
",6,1
1261682465015562240,And farmers advocated for BREXIT Id feel like a right idiot if I were one of them now Or bankrupt httpstcomm3Y4ZXg9L,7,2
2566822615,Were only seeing the negative UK farmers on Brexit and losing the common agricultural policy httpstcoSVDyKJzIFF,5,1
354244391,"waltjack71 destinysharles sainsburys Tesco 1GarethWynJones FarmersWeekly FarmersGuardian scottishfarmer NFUtweets natsheep BBCNEandCumbria FarmingUK TheFarmingForum BBCFarmingToday This is a Brexit benefit that the farmers voted for Liz Truss trade deal 
NeverVoteConservative",5,0
2601559130,"So Brexit farming benefits were just more ToryLies
Anyone surprised
 The Guardian Just 224 farmers were paid under postBrexit farming scheme last year
httpstcowzaRevNNxD

via GoogleNews",5,0
15720449,"Just 224 farmers were paid under postBrexit farming scheme last year httpstcoxAfGeMkhXj

Exclusive Leaked figures show tiny fraction of Englands farms received payment under sustainable farming incentive httpstcoiTjtgUjyPF",4,0
1405773316284059648,"He has lost unfettered access to his nearest export market faces reduction in farm subsidies and has been disadvantaged by trade deals giving access to the UK market to rival farmers from Australia and New Zealand

httpstcoyiOXf8UKdV

brexit brexitreality",13,1
1434286891398885381,Just 224 farmers were paid under postBrexit farming scheme last year httpstcomrJ4Yi8VBn,2,0
1062604369944817665,"Tories fail Farmers
Lets face it this Government is useless Tory tossers
Just 224 farmers were paid under postBrexit farming scheme last year httpstcoH9pommvttm",5,0
1353707708067753984,httpstcoE8DwZYHhMF,0,0
2262575765,httpstco8s9m3Be2hn ToryCorruption BrexitCarnage,0,0
428335045,Just 224 farmers were paid under postBrexit farming scheme last year httpstcob4zaiwEAfp,2,0
1405531943710588940,"Just 224 farmers were paid under postBrexit farming scheme last year
BrexitHasFailed httpstcoLlx4AUPEAa",2,0
406516268,Just 224 farmers were paid under postBrexit farming scheme last year httpstcodjtLVMotZm,2,0
515321393,"BBCNewsnight GreenWashing  Brexit IS WildCapitalism DisasterCapitalism  ToryCriminalsUnfitToGovern are assets stripping the country  NFUtweets SaveBritishFood 
Farmers gazumped by Private Equity Firms   DailyMirror   httpstcoTpuxtoizLh via ITVX",3,2
1547714424533790721,Were only seeing the negative UK farmers on Brexit and losing the common agricultural policy httpstco9ZvpjmRtSW,5,1
315370094,Just 224 farmers were paid under postBrexit farming scheme last year httpstcoyyUa8sozXk,2,0
1254382489117896704,Just such a shame farmers all voted for brexit httpstcoIPFCDaCkaQ,4,0
826182725480673281,"James Dyson our 120m farm investment dwarfs the CAP payments weve httpstcoaejaXLk2mJ

Your article Were only seeing the negative UK farmers on Brexit and losing the common ag

Add your highlights
httpstco92o788BYMK
 europe politics ",8,2
208062440,NicholasTyrone Brexit has been a disaster It has not been planned very well Why would you want to import beef halfway around the world from Australia where we could have deals with our European neighbours and our farmers,18,0
1289266677016928256,Just 224 farmers were paid under postBrexit farming scheme last year httpstcon30Fm8A6Db,2,0
2791354576,Just 224 farmers were paid under postBrexit farming scheme last year httpstco6v69U7W6ni,2,0
1168669381,httpstcoZ8gTo2rnyF,0,0
257531689,"BrexitShambles BrexitHasFailed BrexitWasBasedOnLies BrexitIsNotWorking ShouldHaveStayedinEurope SupportTheProtocol PartitionHasFailed 

Just 224 farmers were paid under postBrexit farming scheme last year httpstcoUn60ZXptSw",2,0
407885371,httpstcoImXEGQugV1,0,0
1137900865,Just 224 farmers were paid under postBrexit farming scheme last year  Farming  The Guardian                            httpstcoehDRRA74lk,2,0
2383587276,Just 224 farmers were paid under postBrexit farming scheme last year  farming httpstcoOjOXzHfEHG,2,0
485835938,joblijob16 guardian Its a myth that farmers voted overwhelmingly for Brexit Those roadside placards you saw in the run up to the referendum were largely placed there by a handful of wealthy landowners,14,0
425855220,"British farmers need to be able to compete on a level playing field with those in Europe and further afield 

Irony is that Brexit isnt leveling the playing field with the EU or rest of the world but rather making it worse for UK farmers

httpstco1AW8p9obGD",21,2
1025454501959028742,"lisaocarroll Do beg pardon The apples to pears would be Potatoes in the finest Lincolnshire fields to Sheep on a Welsh Moor I have absolutely no idea why the plank chose one over the other Surely he should now prove his genius by taking up Sheep Farming

httpstcoKL7FN41S3k",20,1
1579394600309080065,Just 224 farmers were paid under postBrexit farming scheme last year httpstcofEFYVGF5ld,2,0
446974428,"Another reason why if youre undecided that you should support independence
Our Scottish farmers and farms and families are being decimated by Brexit
Independence would mean we keep high food standards httpstcovzXn0weqEg",11,0
3423612425,Another brexit benefit httpstcoJjafcKjJ82,0,0
3318608843,httpstcodpUGNGTfDY,0,0
2345001097,So much for farmers still getting the same grants as they did from EU Yet another Brexit lie voters bought httpstcoASYE7USKOF,7,1
107702315,httpstcozRfqWA17rR,0,0
1398136981,Just 224 farmers were paid under postBrexit farming scheme last year httpstcoBnbCCkoevr,2,0
210413648,Brexit seems to be working thenJust 224 farmers were paid under postBrexit farming scheme last year httpstco0Ktr3GkusO,4,0
1299017696416272385,"Just 224 farmers were paid under postBrexit farming scheme last year

Exclusive Leaked figures show tiny fraction of Englands farms received payment under sustainable farming incentive 

Via guardian  httpstcoCKjqK72gI1",4,0
910948257748148227,Just 224 farmers were paid under postBrexit farming scheme last year httpstcotCZ76Li0UZ,2,0
1558889051327012864,httpstcoWkl8pIrKVK,0,0
1237503792037400580,httpstcobhNFqpYSSV,0,0
209289568,"Mr Dyson thinks we are all suckers

There have been fruit farmers here in Scotland who put huge investments into their farms
Their farms produced high quality fruit but Brexit has meant a lack of export markets and a lack of workers

Brexit has also more widely damaged trade",19,0
849590740246290433,Just 224 farmers were paid under postBrexit farming scheme last year httpstcoyJarMThcfJ httpstcoS2i8szXega,2,0
1069162675370901507,You truly could not make this up  httpstcoyWx4ecqWX6,3,0
417946982,normsk1950 BBCNews They arent here illegally And there are plenty of jobs the brits wont do just ask the farmers burning their crops  The huge problems of recruitment in the catering and care homes thanks to brexit  Its a shame in this day and age people like you still have such ignorant views,21,0
